chapter #	filename	chapter id
1	ch01_intro.html	ch01_intro_what_is_bitcoin
2	ch02_overview.html	ch02_bitcoin_overview
3	ch03_bitcoin-core.html	ch03_bitcoin_client
4	ch04_keys.html	ch04_keys_addresses
5	ch05_wallets.html	ch05_wallets
6	ch06_transactions.html	c_transactions
7	ch07_authorization-authentication.html	c_authorization_authentication
8	ch08_signatures.html	c_signatures
9	ch09_fees.html	tx_fees
10	ch10_network.html	bitcoin_network_ch08
11	ch11_blockchain.html	blockchain
12	ch12_mining.html	mining
13	ch13_security.html	ch11
14	ch14_applications.html	ch12
